userID,restID,ratings,flag,city
52,1,5,F,Cairo
52,2,4,F,Cairo
52,3,4,F,Cairo
52,4,5,F,Cairo
52,7,5,F,Cairo
52,8,5,F,Cairo
52,9,5,F,Cairo
52,11,4,F,Cairo
52,13,5,F,Cairo
52,15,5,F,Cairo
52,16,5,F,Cairo
52,17,4,F,Cairo
52,18,4,F,Cairo
52,21,4,F,Cairo
52,24,4,F,Cairo
52,29,5,F,Cairo
52,31,5,F,Cairo
52,33,5,F,Cairo
52,35,5,F,Cairo
52,37,5,F,Cairo
52,38,5,F,Cairo
52,39,5,F,Cairo
52,40,5,F,Cairo
52,42,5,F,Cairo
52,43,5,F,Cairo
52,45,5,F,Cairo
52,47,5,F,Cairo
52,48,5,F,Cairo
52,50,5,F,Cairo
52,53,4,F,Cairo
52,55,5,F,Cairo
52,58,5,F,Cairo
52,63,4,F,Cairo
52,64,5,F,Cairo
52,66,5,F,Cairo
52,67,5,F,Cairo
52,68,5,F,Cairo
52,69,5,F,Cairo
52,70,5,F,Cairo
52,72,5,F,Cairo
52,73,5,F,Cairo
52,74,5,F,Cairo
52,75,5,F,Cairo
52,76,4,F,Cairo
52,79,5,F,Cairo
52,80,5,F,Cairo
52,82,5,F,Cairo
52,83,5,F,Cairo
52,85,5,F,Cairo
52,86,5,F,Cairo
52,88,5,F,Cairo
52,89,4,F,Cairo
52,90,5,F,Cairo
52,92,4,F,Cairo
52,93,4,F,Cairo
52,94,5,F,Cairo
52,95,4,F,Cairo
52,96,5,F,Cairo
52,98,5,F,Cairo
52,100,5,F,Cairo
52,101,4,F,Cairo
52,106,4,F,Cairo
52,108,5,F,Cairo
52,111,5,F,Cairo
52,112,5,F,Cairo
52,113,5,F,Cairo
52,114,4,F,Cairo
52,116,5,F,Cairo
52,119,5,F,Cairo
52,120,5,F,Cairo
52,121,5,F,Cairo
52,123,5,F,Cairo
52,125,5,F,Cairo
52,127,5,F,Cairo
52,130,4,F,Cairo
52,132,5,F,Cairo
52,134,5,F,Cairo
52,136,4,F,Cairo
52,137,5,F,Cairo
52,138,5,F,Cairo
52,139,5,F,Cairo
52,142,5,F,Cairo
52,143,4,F,Cairo
52,146,5,F,Cairo
52,147,5,F,Cairo
52,148,5,F,Cairo
52,149,5,F,Cairo
52,151,5,F,Cairo
52,152,5,F,Cairo
52,155,5,F,Cairo
52,157,4,F,Cairo
52,158,4,F,Cairo
52,160,5,F,Cairo
52,162,4,F,Cairo
52,163,5,F,Cairo
52,164,4,F,Cairo
52,165,4,F,Cairo
52,166,4,F,Cairo
52,168,4,F,Cairo
52,169,5,F,Cairo
52,171,5,F,Cairo
52,174,5,F,Cairo
52,176,5,F,Cairo
52,177,5,F,Cairo
52,180,4,F,Cairo
52,184,5,F,Cairo
52,185,5,F,Cairo
52,186,4,F,Cairo
52,187,5,F,Cairo
52,188,4,F,Cairo
52,192,5,F,Cairo
52,193,4,F,Cairo
52,195,4,F,Cairo
52,197,4,F,Cairo
52,198,5,F,Cairo
52,199,5,F,Cairo
52,200,4,F,Cairo
52,201,5,F,Cairo
52,202,5,F,Cairo
52,205,5,F,Cairo
52,206,5,F,Cairo
52,207,5,F,Cairo
52,209,5,F,Cairo
52,210,5,F,Cairo
52,214,5,F,Cairo
52,215,5,F,Cairo
52,220,5,F,Cairo
52,221,5,F,Cairo
52,222,5,F,Cairo
52,226,5,F,Cairo
52,230,5,F,Cairo
52,234,5,F,Cairo
52,235,4,F,Cairo
52,237,5,F,Cairo
52,238,4,F,Cairo
52,240,4,F,Cairo
52,242,5,F,Cairo
52,245,4,F,Cairo
52,246,5,F,Cairo
52,249,5,F,Cairo
52,250,4,F,Cairo
52,251,5,F,Cairo
52,252,5,F,Cairo
52,254,4,F,Cairo
52,255,5,F,Cairo
52,257,5,F,Cairo
52,259,5,F,Cairo
52,262,4,F,Cairo
52,263,5,F,Cairo
52,264,5,F,Cairo
52,265,4,F,Cairo
52,266,5,F,Cairo
52,267,5,F,Cairo
52,268,4,F,Cairo
52,270,5,F,Cairo
52,271,4,F,Cairo
52,273,5,F,Cairo
52,274,4,F,Cairo
52,276,4,F,Cairo
52,277,5,F,Cairo
52,278,4,F,Cairo
52,280,4,F,Cairo
52,281,5,F,Cairo
52,282,5,F,Cairo
52,284,5,F,Cairo
52,285,5,F,Cairo
52,286,5,F,Cairo
52,287,4,F,Cairo
52,289,4,F,Cairo
52,292,4,F,Cairo
52,295,4,F,Cairo
52,297,4,F,Cairo
52,298,4,F,Cairo
52,301,5,F,Cairo
52,303,4,F,Cairo
52,304,5,F,Cairo
52,307,4,F,Cairo
52,308,5,F,Cairo
52,309,4,F,Cairo
52,310,4,F,Cairo
52,313,4,F,Cairo
52,315,4,F,Cairo
52,316,5,F,Cairo
52,317,4,F,Cairo
52,319,4,F,Cairo
52,320,5,F,Cairo
52,321,5,F,Cairo
52,322,5,F,Cairo
52,326,4,F,Cairo
52,327,4,F,Cairo
52,330,4,F,Cairo
52,331,5,F,Cairo
52,332,4,F,Cairo
52,333,4,F,Cairo
52,335,4,F,Cairo
52,338,4,F,Cairo
52,339,4,F,Cairo
52,343,4,F,Cairo
52,344,5,F,Cairo
52,346,4,F,Cairo
52,347,4,F,Cairo
52,350,4,F,Cairo
52,351,5,F,Cairo
52,353,5,F,Cairo
52,354,5,F,Cairo
52,356,5,F,Cairo
52,357,4,F,Cairo
52,359,5,F,Cairo
52,361,5,F,Cairo
52,362,5,F,Cairo
52,363,4,F,Cairo
52,364,4,F,Cairo
52,366,5,F,Cairo
52,368,5,F,Cairo
52,370,4,F,Cairo
52,372,4,F,Cairo
52,374,4,F,Cairo
52,375,4,F,Cairo
52,376,5,F,Cairo
52,377,4,F,Cairo
52,378,5,F,Cairo
52,379,5,F,Cairo
52,380,4,F,Cairo
52,381,4,F,Cairo
52,382,4,F,Cairo
52,385,4,F,Cairo
52,386,5,F,Cairo
52,388,5,F,Cairo
52,389,4,F,Cairo
52,390,4,F,Cairo
